objectid,parentid,title,presenter,presenter_affiliation,description,conference-year,date,start_time,end_time,duration_minutes,location,session-type,type,format,subject,identifier,display_template,object_location,image_small,image_thumb
sss2026-program,,"2026 Student Success Symposium Program: Ignite and Elevate",Student Success Symposium Planning Committee,"Center for Excellence in Teaching & Learning, University of Idaho","Official program for the 2026 University of Idaho Student Success Symposium, featuring the full schedule, session descriptions, and planning committee. Theme: Ignite and Elevate: Teaching for Student Persistence.",2026,2026-02-27,11:30 AM,4:30 PM,300,Idaho Student Union Building,program,Text,application/pdf,student success;persistence;higher education;teaching and learning,2026program,pdf,/objects/2026program.pdf,/objects/small/2026program_sm.jpg,/objects/thumbs/2026program_th.jpg
sss2026-keynote,,"Keynote Panel: Collaborative Strategies for Student Success","Theresa Allen; Ashley Kerr; Markie McBrayer; Kaylena Townsend; Beth Ropski","Mathematics & Statistical Science, College of Science; School of Global Studies, CLASS; Politics and Philosophy, CLASS; Advising Services, SEM; Center for Excellence in Teaching & Learning","This panel session highlights strategies used by student success professionals to support persistence, belonging, and academic achievement. Panelists discuss how collaboration across teaching, advising, mentoring, and student support roles helps close retention gaps and fosters a holistic approach to student success.",2026,2026-02-27,12:00 PM,12:30 PM,30,"Clearwater & Whitewater Room",keynote,,,collaboration;persistence;belonging,,session,,,
sss2026-awwad-rafferty,,"Building Resilience, Agency, and Hope: Multiple Narratives on Co-Learning and Co-Creating with Community","Rula Awwad-Rafferty; Emily Fisher; Jack Wilkens; Krysta Hagen","Interior Architecture & Design, College of Arts & Architecture","This workshop examines how institutions can leverage collective expertise to create meaningful, purpose-driven impact through community engagement, co-learning and cocreation. It introduces a practical, hands-on approach grounded in long-term community partnerships and informed by the perspectives of educators, students, and local collaborators.",2026,2026-02-27,1:30 PM,2:00 PM,30,Horizon,workshop,,,community engagement;resilience;capstone,,session,,,
sss2026-baumgaertner,,Bots as Foils: Real Students Learn by Teaching AI Students,Bert Baumgaertner,"Politics and Philosophy, CLASS","In this session, the presenter demonstrates an experimental approach to using AI by reversing its typical role. Instead of acting as tutors or assistants, chatbots are intentionally designed to be confused, and students are tasked with helping them understand a topic. This strategy supports customizable assignments for instructors, promotes active learning for students, and builds AI literacy skills.",2026,2026-02-27,1:00 PM,1:30 PM,30,Crest,presentation,,,AI;active learning;AI literacy,,session,,,
sss2026-baumgaertner-abstract,sss2026-baumgaertner,Abstract: Bots as Foils: Real Students Learn by Teaching AI Students,Bert Baumgaertner,"Politics and Philosophy, CLASS","Extended abstract describing the MrBayes platform and Foil Bots approach. Includes survey results from PHIL 1103 (Fall 2025, ~250 students) showing 58% found MrBayes more effective than discussion boards. Covers platform design, persona development, and implications for AI literacy across disciplines.",2026,2026-02-27,,,,,abstract,,,AI;active learning;AI literacy;chatbot pedagogy,baumgaertner-abs,pdf,/objects/baumgaertner-abs.pdf,/objects/small/baumgaertner-abs_sm.jpg,/objects/thumbs/baumgaertner-abs_th.jpg
sss2026-baumgaertner-slides,sss2026-baumgaertner,Slides: Bots as Foils: Real Students Learn by Teaching AI Students,Bert Baumgaertner,"Politics and Philosophy, CLASS","Presentation slides covering the MrBayes platform and Foil Bot approach to AI-assisted learning. Demonstrates how chatbots designed to be confused promote active learning and AI literacy in dialogue-based courses, with survey results from PHIL 1103.",2026,2026-02-27,,,,,slides,,,AI;active learning;AI literacy;chatbot pedagogy,baumgaertner-ppt,pdf,/objects/baumgaertner-ppt.pdf,/objects/small/baumgaertner-ppt_sm.jpg,/objects/thumbs/baumgaertner-ppt_th.jpg
sss2026-boester-active,,Transforming Your Class to Utilize Active Learning,Tim Boester,"Mathematics & Statistical Science, College of Science",This workshop is designed for faculty seeking to create more engaging classroom experiences. Participants bring a class day or topic they wish to redesign and collaborate with experienced faculty to explore and apply active learning strategies.,2026,2026-02-27,3:15 PM,4:15 PM,60,Aurora,workshop,,,active learning;course design,,session,,,
sss2026-boester-active-abstract,sss2026-boester-active,Abstract: Transforming Your Class to Utilize Active Learning Workshop,"Tim Boester; Annelise Nielsen; Molly Sutter","Mathematics and Statistical Sciences, University of Idaho","Workshop abstract covering active learning techniques, their benefits, and an example from a mathematics course that recently adopted active learning. Participants discussed how to restructure class days to promote student engagement with course material.",2026,2026-02-27,,,,,abstract,,,active learning;classroom instruction;student thinking,boester-sss-active-learning-abs,pdf,/objects/boester-sss-active-learning-workshop-abs.pdf,/objects/small/boester-sss-active-learning-workshop-abs_sm.jpg,/objects/thumbs/boester-sss-active-learning-workshop-abs_th.jpg
sss2026-boester-active-slides,sss2026-boester-active,Slides: Transforming Your Class to Utilize Active Learning Workshop,"Tim Boester; Annelise Nielsen; Molly Sutter","Mathematics and Statistical Sciences, University of Idaho","Workshop slides presenting active learning techniques, their benefits, and a mathematics course example. Includes discussion prompts for participants to redesign class days using active learning strategies.",2026,2026-02-27,,,,,slides,,,active learning;classroom instruction;student thinking,boester-sss-active-learning-ppt,pdf,/objects/boester-sss-active-learning-workshop-ppt.pdf,/objects/small/boester-sss-active-learning-workshop-ppt_sm.jpg,/objects/thumbs/boester-sss-active-learning-workshop-ppt_th.jpg
sss2026-boester-math,,Progress Update on Transforming Introductory Math Courses,Tim Boester,"Mathematics & Statistical Science, College of Science","Since Fall 2023, introductory mathematics courses at the University of Idaho have transitioned from the Polya emporium model to a classroom-based approach. This session provides an overview of the changes, examines early outcomes for students and the institution, and discusses ongoing efforts to improve instruction.",2026,2026-02-27,2:00 PM,2:30 PM,30,Aurora,presentation,,,math;curriculum reform;outcomes,,session,,,
